날짜,스트레스,날짜,코로나,날짜,수능,날짜,학업
2021-12-24,0.01298,2021-12-24,3.95127,2021-12-24,0.04098,2021-12-24,0.00346
2021-12-25,0.00996,2021-12-25,2.97994,2021-12-25,0.03291,2021-12-25,0.00175
2021-12-26,0.01102,2021-12-26,3.11793,2021-12-26,0.04168,2021-12-26,0.00238
2021-12-27,0.01416,2021-12-27,4.29152,2021-12-27,0.05115,2021-12-27,0.00395
2021-12-28,0.01463,2021-12-28,4.61022,2021-12-28,0.04663,2021-12-28,0.00368
2021-12-29,0.01514,2021-12-29,4.40864,2021-12-29,0.04759,2021-12-29,0.00391
2021-12-30,0.01445,2021-12-30,3.83802,2021-12-30,0.05134,2021-12-30,0.00358
2021-12-31,0.013,2021-12-31,3.46666,2021-12-31,0.04543,2021-12-31,0.00395
2022-01-01,0.01072,2022-01-01,2.53759,2022-01-01,0.05497,2022-01-01,0.00264
2022-01-02,0.01261,2022-01-02,2.58761,2022-01-02,0.05458,2022-01-02,0.00273
2022-01-03,0.0164,2022-01-03,3.58808,2022-01-03,0.06185,2022-01-03,0.00332
2022-01-04,0.01612,2022-01-04,3.65775,2022-01-04,0.04669,2022-01-04,0.00372
2022-01-05,0.01544,2022-01-05,3.47747,2022-01-05,0.04514,2022-01-05,0.00342
2022-01-06,0.01779,2022-01-06,3.19461,2022-01-06,0.04041,2022-01-06,0.00311
2022-01-07,0.01718,2022-01-07,3.12062,2022-01-07,0.03693,2022-01-07,0.00315
2022-01-08,0.01398,2022-01-08,2.39339,2022-01-08,0.03615,2022-01-08,0.00191
2022-01-09,0.01516,2022-01-09,2.37727,2022-01-09,0.03544,2022-01-09,0.00252
2022-01-10,0.01769,2022-01-10,3.33999,2022-01-10,0.04349,2022-01-10,0.00322
2022-01-11,0.01748,2022-01-11,2.98518,2022-01-11,0.03689,2022-01-11,0.00301
2022-01-12,0.01626,2022-01-12,3.02417,2022-01-12,0.03593,2022-01-12,0.00279
2022-01-13,0.0164,2022-01-13,2.97682,2022-01-13,0.03354,2022-01-13,0.00326
2022-01-14,0.01708,2022-01-14,3.09954,2022-01-14,0.03322,2022-01-14,0.00236
2022-01-15,0.01496,2022-01-15,2.00022,2022-01-15,0.02714,2022-01-15,0.00181
2022-01-16,0.01536,2022-01-16,1.85365,2022-01-16,0.02908,2022-01-16,0.0026
2022-01-17,0.01781,2022-01-17,2.48656,2022-01-17,0.03316,2022-01-17,0.00262
2022-01-18,0.01744,2022-01-18,2.31474,2022-01-18,0.03138,2022-01-18,0.00244
2022-01-19,0.01659,2022-01-19,2.79834,2022-01-19,0.0311,2022-01-19,0.00275
2022-01-20,0.01769,2022-01-20,3.59116,2022-01-20,0.0356,2022-01-20,0.00256
2022-01-21,0.01642,2022-01-21,3.48474,2022-01-21,0.04227,2022-01-21,0.00228
2022-01-22,0.0143,2022-01-22,3.00862,2022-01-22,0.03065,2022-01-22,0.00179
2022-01-23,0.01416,2022-01-23,3.18978,2022-01-23,0.03047,2022-01-23,0.00197
2022-01-24,0.02164,2022-01-24,4.61788,2022-01-24,0.029,2022-01-24,0.00315
2022-01-25,0.01809,2022-01-25,7.80236,2022-01-25,0.02861,2022-01-25,0.00258
2022-01-26,0.0186,2022-01-26,15.39233,2022-01-26,0.02743,2022-01-26,0.00264
2022-01-27,0.01622,2022-01-27,11.31785,2022-01-27,0.02706,2022-01-27,0.0025
2022-01-28,0.01608,2022-01-28,8.92612,2022-01-28,0.02629,2022-01-28,0.00216
2022-01-29,0.01196,2022-01-29,6.8737,2022-01-29,0.0236,2022-01-29,0.00146
2022-01-30,0.01116,2022-01-30,5.9623,2022-01-30,0.02292,2022-01-30,0.00195
2022-01-31,0.01127,2022-01-31,5.32703,2022-01-31,0.02248,2022-01-31,0.00195
2022-02-01,0.01041,2022-02-01,5.23036,2022-02-01,0.02531,2022-02-01,0.00165
2022-02-02,0.01271,2022-02-02,8.02972,2022-02-02,0.02794,2022-02-02,0.00228
2022-02-03,0.01618,2022-02-03,10.42554,2022-02-03,0.03228,2022-02-03,0.00322
2022-02-04,0.01502,2022-02-04,10.53306,2022-02-04,0.03069,2022-02-04,0.00291
2022-02-05,0.01367,2022-02-05,11.28589,2022-02-05,0.02932,2022-02-05,0.0023
2022-02-06,0.01467,2022-02-06,10.01173,2022-02-06,0.02969,2022-02-06,0.00216
2022-02-07,0.01787,2022-02-07,12.20844,2022-02-07,0.03328,2022-02-07,0.00313
2022-02-08,0.01891,2022-02-08,10.1243,2022-02-08,0.03179,2022-02-08,0.00375
2022-02-09,0.0164,2022-02-09,13.12726,2022-02-09,0.03063,2022-02-09,0.00324
2022-02-10,0.01779,2022-02-10,11.3753,2022-02-10,0.02928,2022-02-10,0.00336
2022-02-11,0.0174,2022-02-11,9.33653,2022-02-11,0.03049,2022-02-11,0.00283
2022-02-12,0.01489,2022-02-12,7.27337,2022-02-12,0.02714,2022-02-12,0.00191
2022-02-13,0.01528,2022-02-13,6.51654,2022-02-13,0.02757,2022-02-13,0.0025
2022-02-14,0.01687,2022-02-14,8.39855,2022-02-14,0.03246,2022-02-14,0.00305
2022-02-15,0.01801,2022-02-15,9.26191,2022-02-15,0.0299,2022-02-15,0.00281
2022-02-16,0.01644,2022-02-16,16.61567,2022-02-16,0.03063,2022-02-16,0.00254
2022-02-17,0.01779,2022-02-17,13.06856,2022-02-17,0.03018,2022-02-17,0.00283
2022-02-18,0.01626,2022-02-18,11.99355,2022-02-18,0.02808,2022-02-18,0.0026
2022-02-19,0.0132,2022-02-19,7.38339,2022-02-19,0.02822,2022-02-19,0.00167
2022-02-20,0.0131,2022-02-20,6.4959,2022-02-20,0.03393,2022-02-20,0.00228
2022-02-21,0.01722,2022-02-21,8.34346,2022-02-21,0.03611,2022-02-21,0.00332
2022-02-22,0.01614,2022-02-22,7.73524,2022-02-22,0.03383,2022-02-22,0.00279
2022-02-23,0.01655,2022-02-23,12.83337,2022-02-23,0.03358,2022-02-23,0.00324
2022-02-24,0.01756,2022-02-24,10.66069,2022-02-24,0.03346,2022-02-24,0.00262
2022-02-25,0.01565,2022-02-25,8.07788,2022-02-25,0.03138,2022-02-25,0.00281
2022-02-26,0.01441,2022-02-26,6.00255,2022-02-26,0.02784,2022-02-26,0.00214
2022-02-27,0.01306,2022-02-27,5.26656,2022-02-27,0.03057,2022-02-27,0.0022
2022-02-28,0.01816,2022-02-28,7.2931,2022-02-28,0.03326,2022-02-28,0.00334
2022-03-01,0.01524,2022-03-01,6.10193,2022-03-01,0.0388,2022-03-01,0.00368
2022-03-02,0.01681,2022-03-02,8.96909,2022-03-02,0.04276,2022-03-02,0.0101
2022-03-03,0.01832,2022-03-03,7.11374,2022-03-03,0.03805,2022-03-03,0.00735
2022-03-04,0.01722,2022-03-04,7.85433,2022-03-04,0.03144,2022-03-04,0.0044
2022-03-05,0.01477,2022-03-05,5.54418,2022-03-05,0.02957,2022-03-05,0.00299
2022-03-06,0.01465,2022-03-06,4.91913,2022-03-06,0.03464,2022-03-06,0.00425
2022-03-07,0.01895,2022-03-07,6.40304,2022-03-07,0.03609,2022-03-07,0.00548
2022-03-08,0.01726,2022-03-08,6.11457,2022-03-08,0.03081,2022-03-08,0.00417
2022-03-09,0.0139,2022-03-09,6.59728,2022-03-09,0.02792,2022-03-09,0.00313
2022-03-10,0.01873,2022-03-10,7.17286,2022-03-10,0.02981,2022-03-10,0.00399
2022-03-11,0.01746,2022-03-11,7.14535,2022-03-11,0.02727,2022-03-11,0.00381
2022-03-12,0.01538,2022-03-12,6.6135,2022-03-12,0.02804,2022-03-12,0.00309
2022-03-13,0.01785,2022-03-13,6.21992,2022-03-13,0.03106,2022-03-13,0.0043
2022-03-14,0.01928,2022-03-14,8.03842,2022-03-14,0.03263,2022-03-14,0.00476
2022-03-15,0.01928,2022-03-15,7.8089,2022-03-15,0.02941,2022-03-15,0.0045
2022-03-16,0.02148,2022-03-16,10.80624,2022-03-16,0.0301,2022-03-16,0.00493
2022-03-17,0.01922,2022-03-17,14.02292,2022-03-17,0.03073,2022-03-17,0.0046
2022-03-18,0.01917,2022-03-18,9.86877,2022-03-18,0.0289,2022-03-18,0.00358
2022-03-19,0.01443,2022-03-19,6.07847,2022-03-19,0.02841,2022-03-19,0.00242
2022-03-20,0.01622,2022-03-20,5.59344,2022-03-20,0.03338,2022-03-20,0.00401
2022-03-21,0.02097,2022-03-21,7.81257,2022-03-21,0.03477,2022-03-21,0.00519
2022-03-22,0.02164,2022-03-22,7.00475,2022-03-22,0.05227,2022-03-22,0.0043
2022-03-23,0.01844,2022-03-23,6.8695,2022-03-23,0.04327,2022-03-23,0.00456
2022-03-24,0.01897,2022-03-24,5.67234,2022-03-24,0.04139,2022-03-24,0.00393
2022-03-25,0.01726,2022-03-25,5.00646,2022-03-25,0.03179,2022-03-25,0.00387
2022-03-26,0.01522,2022-03-26,3.72089,2022-03-26,0.02996,2022-03-26,0.00289
2022-03-27,0.01834,2022-03-27,3.64686,2022-03-27,0.03375,2022-03-27,0.00311
2022-03-28,0.01966,2022-03-28,5.68365,2022-03-28,0.03224,2022-03-28,0.00415
2022-03-29,0.01989,2022-03-29,5.11765,2022-03-29,0.02975,2022-03-29,0.00354
2022-03-30,0.02156,2022-03-30,4.91381,2022-03-30,0.03206,2022-03-30,0.00434
2022-03-31,0.02005,2022-03-31,4.36133,2022-03-31,0.0311,2022-03-31,0.00397
2022-04-01,0.01864,2022-04-01,4.40764,2022-04-01,0.0301,2022-04-01,0.00319
2022-04-02,0.01361,2022-04-02,3.15959,2022-04-02,0.0431,2022-04-02,0.00232
2022-04-03,0.01701,2022-04-03,3.20953,2022-04-03,0.03556,2022-04-03,0.00287
2022-04-04,0.02052,2022-04-04,4.97326,2022-04-04,0.04857,2022-04-04,0.00417
2022-04-05,0.02115,2022-04-05,4.41245,2022-04-05,0.0323,2022-04-05,0.00409
2022-04-06,0.0197,2022-04-06,3.9519,2022-04-06,0.02937,2022-04-06,0.00397
2022-04-07,0.02105,2022-04-07,3.57544,2022-04-07,0.0279,2022-04-07,0.00385
2022-04-08,0.01917,2022-04-08,3.38773,2022-04-08,0.02576,2022-04-08,0.00326
2022-04-09,0.01681,2022-04-09,2.69245,2022-04-09,0.02637,2022-04-09,0.00254
2022-04-10,0.01777,2022-04-10,2.71769,2022-04-10,0.02945,2022-04-10,0.00305
2022-04-11,0.0218,2022-04-11,4.36308,2022-04-11,0.0334,2022-04-11,0.00387
2022-04-12,0.02227,2022-04-12,3.87053,2022-04-12,0.02994,2022-04-12,0.0036
2022-04-13,0.02235,2022-04-13,3.32456,2022-04-13,0.03032,2022-04-13,0.00368
2022-04-14,0.02231,2022-04-14,3.42307,2022-04-14,0.0301,2022-04-14,0.00358
2022-04-15,0.01907,2022-04-15,4.97458,2022-04-15,0.0269,2022-04-15,0.0026
2022-04-16,0.01455,2022-04-16,2.5752,2022-04-16,0.02745,2022-04-16,0.00232
2022-04-17,0.01665,2022-04-17,2.63053,2022-04-17,0.03246,2022-04-17,0.00258
2022-04-18,0.024,2022-04-18,4.33206,2022-04-18,0.03108,2022-04-18,0.00324
2022-04-19,0.02136,2022-04-19,3.61121,2022-04-19,0.02902,2022-04-19,0.00279
2022-04-20,0.0196,2022-04-20,3.06915,2022-04-20,0.02702,2022-04-20,0.00283
2022-04-21,0.01811,2022-04-21,2.66465,2022-04-21,0.02761,2022-04-21,0.00293
2022-04-22,0.0153,2022-04-22,2.47439,2022-04-22,0.02806,2022-04-22,0.00267
2022-04-23,0.01377,2022-04-23,1.99335,2022-04-23,0.02704,2022-04-23,0.00179
2022-04-24,0.01502,2022-04-24,2.13947,2022-04-24,0.03069,2022-04-24,0.00234
2022-04-25,0.01773,2022-04-25,3.2488,2022-04-25,0.03179,2022-04-25,0.00352
2022-04-26,0.01712,2022-04-26,2.7203,2022-04-26,0.03049,2022-04-26,0.00338
2022-04-27,0.01604,2022-04-27,2.4709,2022-04-27,0.02794,2022-04-27,0.00287
2022-04-28,0.01514,2022-04-28,2.56921,2022-04-28,0.02898,2022-04-28,0.00336
2022-04-29,0.01504,2022-04-29,2.5937,2022-04-29,0.02562,2022-04-29,0.00311
2022-04-30,0.0118,2022-04-30,1.73234,2022-04-30,0.02686,2022-04-30,0.00216
2022-05-01,0.01288,2022-05-01,1.88582,2022-05-01,0.04088,2022-05-01,0.00262
2022-05-02,0.0162,2022-05-02,2.78489,2022-05-02,0.03381,2022-05-02,0.00354
2022-05-03,0.0154,2022-05-03,2.319,2022-05-03,0.02853,2022-05-03,0.00283
2022-05-04,0.01546,2022-05-04,2.06116,2022-05-04,0.02525,2022-05-04,0.00275
2022-05-05,0.01118,2022-05-05,1.55227,2022-05-05,0.02409,2022-05-05,0.00144
2022-05-06,0.01414,2022-05-06,1.9252,2022-05-06,0.02647,2022-05-06,0.00234
2022-05-07,0.01135,2022-05-07,1.4791,2022-05-07,0.02431,2022-05-07,0.00169
2022-05-08,0.01412,2022-05-08,1.45957,2022-05-08,0.02896,2022-05-08,0.0024
2022-05-09,0.02013,2022-05-09,2.18341,2022-05-09,0.03083,2022-05-09,0.00348
2022-05-10,0.02013,2022-05-10,1.82141,2022-05-10,0.02853,2022-05-10,0.00358
2022-05-11,0.02256,2022-05-11,1.77645,2022-05-11,0.02896,2022-05-11,0.00401
2022-05-12,0.02282,2022-05-12,1.70542,2022-05-12,0.02804,2022-05-12,0.00305
2022-05-13,0.01875,2022-05-13,1.64772,2022-05-13,0.02388,2022-05-13,0.00254
2022-05-14,0.01373,2022-05-14,1.28494,2022-05-14,0.02529,2022-05-14,0.00207
2022-05-15,0.01626,2022-05-15,1.28875,2022-05-15,0.03036,2022-05-15,0.00299
2022-05-16,0.02295,2022-05-16,1.90852,2022-05-16,0.03424,2022-05-16,0.00452
2022-05-17,0.02488,2022-05-17,1.86817,2022-05-17,0.03087,2022-05-17,0.00362
2022-05-18,0.02392,2022-05-18,1.69439,2022-05-18,0.02816,2022-05-18,0.0035
2022-05-19,0.01964,2022-05-19,1.66496,2022-05-19,0.0291,2022-05-19,0.00326
2022-05-20,0.01842,2022-05-20,1.67558,2022-05-20,0.02588,2022-05-20,0.00315
2022-05-21,0.01418,2022-05-21,1.15333,2022-05-21,0.02686,2022-05-21,0.0022
2022-05-22,0.02284,2022-05-22,1.18853,2022-05-22,0.03069,2022-05-22,0.0026
2022-05-23,0.02197,2022-05-23,1.72672,2022-05-23,0.0334,2022-05-23,0.00311
2022-05-24,0.02252,2022-05-24,1.55897,2022-05-24,0.03089,2022-05-24,0.00358
2022-05-25,0.02028,2022-05-25,1.45922,2022-05-25,0.03204,2022-05-25,0.00368
2022-05-26,0.0215,2022-05-26,1.39956,2022-05-26,0.029,2022-05-26,0.00383
2022-05-27,0.02103,2022-05-27,1.30228,2022-05-27,0.02692,2022-05-27,0.00352
2022-05-28,0.01441,2022-05-28,1.07366,2022-05-28,0.0257,2022-05-28,0.00228
2022-05-29,0.01777,2022-05-29,1.07074,2022-05-29,0.03277,2022-05-29,0.00279
2022-05-30,0.02488,2022-05-30,1.63793,2022-05-30,0.03466,2022-05-30,0.00375
2022-05-31,0.01909,2022-05-31,1.4368,2022-05-31,0.03036,2022-05-31,0.00291
2022-06-01,0.01783,2022-06-01,1.11014,2022-06-01,0.03204,2022-06-01,0.00303
2022-06-02,0.01846,2022-06-02,1.3163,2022-06-02,0.03617,2022-06-02,0.00295
2022-06-03,0.01793,2022-06-03,1.27063,2022-06-03,0.03202,2022-06-03,0.0025
2022-06-04,0.0142,2022-06-04,1.01783,2022-06-04,0.02804,2022-06-04,0.00163
2022-06-05,0.01375,2022-06-05,0.94007,2022-06-05,0.0323,2022-06-05,0.00244
2022-06-06,0.01854,2022-06-06,1.08558,2022-06-06,0.04058,2022-06-06,0.00273
2022-06-07,0.02213,2022-06-07,1.34975,2022-06-07,0.04172,2022-06-07,0.00348
2022-06-08,0.02231,2022-06-08,1.34565,2022-06-08,0.04477,2022-06-08,0.00309
2022-06-09,0.02009,2022-06-09,1.21615,2022-06-09,0.06679,2022-06-09,0.00303
2022-06-10,0.01924,2022-06-10,1.15547,2022-06-10,0.04113,2022-06-10,0.00287
2022-06-11,0.01392,2022-06-11,0.9063,2022-06-11,0.03829,2022-06-11,0.00193
2022-06-12,0.01887,2022-06-12,0.94961,2022-06-12,0.03943,2022-06-12,0.00273
2022-06-13,0.01993,2022-06-13,1.35815,2022-06-13,0.041,2022-06-13,0.00311
2022-06-14,0.02154,2022-06-14,1.32205,2022-06-14,0.04257,2022-06-14,0.00281
2022-06-15,0.0193,2022-06-15,1.17742,2022-06-15,0.03888,2022-06-15,0.00354
2022-06-16,0.01714,2022-06-16,1.15052,2022-06-16,0.03654,2022-06-16,0.00317
2022-06-17,0.01775,2022-06-17,1.22558,2022-06-17,0.03301,2022-06-17,0.00264
2022-06-18,0.01363,2022-06-18,0.8605,2022-06-18,0.03316,2022-06-18,0.00209
2022-06-19,0.01463,2022-06-19,0.82528,2022-06-19,0.04013,2022-06-19,0.00195
2022-06-20,0.0197,2022-06-20,1.1869,2022-06-20,0.0439,2022-06-20,0.00289
2022-06-21,0.01661,2022-06-21,1.14791,2022-06-21,0.03899,2022-06-21,0.00287
2022-06-22,0.01689,2022-06-22,1.19218,2022-06-22,0.03819,2022-06-22,0.00258
2022-06-23,0.01624,2022-06-23,0.97454,2022-06-23,0.03756,2022-06-23,0.00273
2022-06-24,0.01363,2022-06-24,0.96339,2022-06-24,0.03591,2022-06-24,0.00244
2022-06-25,0.01261,2022-06-25,0.74606,2022-06-25,0.03507,2022-06-25,0.00189
2022-06-26,0.01357,2022-06-26,0.7675,2022-06-26,0.04335,2022-06-26,0.00195
2022-06-27,0.01608,2022-06-27,1.03893,2022-06-27,0.05737,2022-06-27,0.00271
2022-06-28,0.01659,2022-06-28,1.09229,2022-06-28,0.03935,2022-06-28,0.00258
2022-06-29,0.01646,2022-06-29,1.39526,2022-06-29,0.03884,2022-06-29,0.00299
2022-06-30,0.01528,2022-06-30,1.17243,2022-06-30,0.03707,2022-06-30,0.00246
2022-07-01,0.01477,2022-07-01,1.14269,2022-07-01,0.04577,2022-07-01,0.00228
2022-07-02,0.01094,2022-07-02,1.10904,2022-07-02,0.04722,2022-07-02,0.00124
2022-07-03,0.01284,2022-07-03,1.2297,2022-07-03,0.06249,2022-07-03,0.00195
2022-07-04,0.01734,2022-07-04,1.64596,2022-07-04,0.05867,2022-07-04,0.00275
2022-07-05,0.01663,2022-07-05,2.52061,2022-07-05,0.05089,2022-07-05,0.00334
2022-07-06,0.01697,2022-07-06,2.71748,2022-07-06,0.05028,2022-07-06,0.00301
2022-07-07,0.01964,2022-07-07,2.57891,2022-07-07,0.04702,2022-07-07,0.00342
2022-07-08,0.01489,2022-07-08,2.81126,2022-07-08,0.04045,2022-07-08,0.00269
2022-07-09,0.01163,2022-07-09,2.24913,2022-07-09,0.0357,2022-07-09,0.00195
2022-07-10,0.0139,2022-07-10,2.34019,2022-07-10,0.04113,2022-07-10,0.00248
2022-07-11,0.01862,2022-07-11,4.03226,2022-07-11,0.04557,2022-07-11,0.00342
2022-07-12,0.01948,2022-07-12,5.25257,2022-07-12,0.04062,2022-07-12,0.00311
2022-07-13,0.01942,2022-07-13,5.2145,2022-07-13,0.03986,2022-07-13,0.00319
2022-07-14,0.01926,2022-07-14,4.19779,2022-07-14,0.04433,2022-07-14,0.00315
2022-07-15,0.01551,2022-07-15,3.58873,2022-07-15,0.04292,2022-07-15,0.00238
2022-07-16,0.01165,2022-07-16,2.29686,2022-07-16,0.03736,2022-07-16,0.00165
2022-07-17,0.0122,2022-07-17,2.23859,2022-07-17,0.0432,2022-07-17,0.00211
2022-07-18,0.01714,2022-07-18,3.98176,2022-07-18,0.04532,2022-07-18,0.0026
2022-07-19,0.01734,2022-07-19,5.75656,2022-07-19,0.04704,2022-07-19,0.00289
2022-07-20,0.0151,2022-07-20,5.46206,2022-07-20,0.04469,2022-07-20,0.00234
2022-07-21,0.01542,2022-07-21,4.42472,2022-07-21,0.04484,2022-07-21,0.00269
2022-07-22,0.01385,2022-07-22,3.4569,2022-07-22,0.04308,2022-07-22,0.00199
2022-07-23,0.01082,2022-07-23,2.26896,2022-07-23,0.04043,2022-07-23,0.00154
2022-07-24,0.01133,2022-07-24,2.1856,2022-07-24,0.04557,2022-07-24,0.00177
2022-07-25,0.01353,2022-07-25,3.50197,2022-07-25,0.05421,2022-07-25,0.00232
2022-07-26,0.01426,2022-07-26,4.28934,2022-07-26,0.05427,2022-07-26,0.00232
2022-07-27,0.01322,2022-07-27,4.2425,2022-07-27,0.05164,2022-07-27,0.00205
2022-07-28,0.01318,2022-07-28,3.27746,2022-07-28,0.0515,2022-07-28,0.00187
2022-07-29,0.01277,2022-07-29,2.61877,2022-07-29,0.04954,2022-07-29,0.00201
2022-07-30,0.01031,2022-07-30,1.99172,2022-07-30,0.04783,2022-07-30,0.00134
2022-07-31,0.01076,2022-07-31,1.65328,2022-07-31,0.05293,2022-07-31,0.00183
2022-08-01,0.01214,2022-08-01,2.52204,2022-08-01,0.07158,2022-08-01,0.00209
2022-08-02,0.01453,2022-08-02,2.87866,2022-08-02,0.07233,2022-08-02,0.00211
2022-08-03,0.01288,2022-08-03,2.65106,2022-08-03,0.08523,2022-08-03,0.00244
2022-08-04,0.01375,2022-08-04,2.37949,2022-08-04,0.08432,2022-08-04,0.00191
2022-08-05,0.01361,2022-08-05,2.09494,2022-08-05,0.07942,2022-08-05,0.00267
2022-08-06,0.01096,2022-08-06,1.64674,2022-08-06,0.07072,2022-08-06,0.0013
2022-08-07,0.01212,2022-08-07,1.61223,2022-08-07,0.08758,2022-08-07,0.00158
2022-08-08,0.01377,2022-08-08,2.34841,2022-08-08,0.12492,2022-08-08,0.00218
2022-08-09,0.01359,2022-08-09,2.34082,2022-08-09,0.25654,2022-08-09,0.00197
2022-08-10,0.01259,2022-08-10,2.29401,2022-08-10,0.12263,2022-08-10,0.00193
2022-08-11,0.01432,2022-08-11,2.08795,2022-08-11,0.09281,2022-08-11,0.00207
2022-08-12,0.01265,2022-08-12,1.84037,2022-08-12,0.08334,2022-08-12,0.00187
2022-08-13,0.01108,2022-08-13,1.35862,2022-08-13,0.07211,2022-08-13,0.00185
2022-08-14,0.01076,2022-08-14,1.29984,2022-08-14,0.07525,2022-08-14,0.00152
2022-08-15,0.01257,2022-08-15,1.48132,2022-08-15,0.08529,2022-08-15,0.00205
2022-08-16,0.01498,2022-08-16,2.21395,2022-08-16,0.11248,2022-08-16,0.00301
2022-08-17,0.0171,2022-08-17,2.63632,2022-08-17,0.1057,2022-08-17,0.00297
2022-08-18,0.01683,2022-08-18,2.37303,2022-08-18,0.11324,2022-08-18,0.00348
2022-08-19,0.01565,2022-08-19,1.94815,2022-08-19,0.10221,2022-08-19,0.00283
2022-08-20,0.01243,2022-08-20,1.38399,2022-08-20,0.07916,2022-08-20,0.00173
2022-08-21,0.01271,2022-08-21,1.26272,2022-08-21,0.08868,2022-08-21,0.00262
2022-08-22,0.01697,2022-08-22,1.89252,2022-08-22,0.12039,2022-08-22,0.00346
2022-08-23,0.01734,2022-08-23,1.79695,2022-08-23,0.1059,2022-08-23,0.00303
2022-08-24,0.01681,2022-08-24,1.64319,2022-08-24,0.11271,2022-08-24,0.00328
2022-08-25,0.01703,2022-08-25,1.51827,2022-08-25,0.09926,2022-08-25,0.00328
2022-08-26,0.01493,2022-08-26,1.32729,2022-08-26,0.09669,2022-08-26,0.00277
2022-08-27,0.01396,2022-08-27,0.96227,2022-08-27,0.07441,2022-08-27,0.00189
2022-08-28,0.01383,2022-08-28,0.96376,2022-08-28,0.09854,2022-08-28,0.00258
2022-08-29,0.01646,2022-08-29,1.40605,2022-08-29,0.11768,2022-08-29,0.00354
2022-08-30,0.01685,2022-08-30,1.2949,2022-08-30,0.11713,2022-08-30,0.00305
2022-08-31,0.01765,2022-08-31,1.27104,2022-08-31,0.15718,2022-08-31,0.00322
2022-09-01,0.01614,2022-09-01,1.15759,2022-09-01,0.13164,2022-09-01,0.00315
2022-09-02,0.01449,2022-09-02,1.02613,2022-09-02,0.09942,2022-09-02,0.00291
2022-09-03,0.01267,2022-09-03,0.78529,2022-09-03,0.07779,2022-09-03,0.00199
2022-09-04,0.01322,2022-09-04,0.76295,2022-09-04,0.08735,2022-09-04,0.00293
2022-09-05,0.01632,2022-09-05,1.02413,2022-09-05,0.10032,2022-09-05,0.00364
2022-09-06,0.01579,2022-09-06,1.00605,2022-09-06,0.0922,2022-09-06,0.00438
2022-09-07,0.0174,2022-09-07,0.94617,2022-09-07,0.09561,2022-09-07,0.00444
2022-09-08,0.01536,2022-09-08,0.85961,2022-09-08,0.08187,2022-09-08,0.0033
2022-09-09,0.00974,2022-09-09,0.66172,2022-09-09,0.07408,2022-09-09,0.00169
2022-09-10,0.01108,2022-09-10,0.66585,2022-09-10,0.09006,2022-09-10,0.0022
2022-09-11,0.01029,2022-09-11,0.6639,2022-09-11,0.08476,2022-09-11,0.00236
2022-09-12,0.01471,2022-09-12,0.74151,2022-09-12,0.10262,2022-09-12,0.00389
2022-09-13,0.02011,2022-09-13,1.06479,2022-09-13,0.12889,2022-09-13,0.00536
2022-09-14,0.02025,2022-09-14,1.07131,2022-09-14,0.11793,2022-09-14,0.00615
2022-09-15,0.02011,2022-09-15,0.96209,2022-09-15,0.11259,2022-09-15,0.00472
2022-09-16,0.01789,2022-09-16,0.87079,2022-09-16,0.11181,2022-09-16,0.00436
2022-09-17,0.0131,2022-09-17,0.62623,2022-09-17,0.10221,2022-09-17,0.00281
2022-09-18,0.01414,2022-09-18,0.64555,2022-09-18,0.10372,2022-09-18,0.00411
2022-09-19,0.02001,2022-09-19,0.99731,2022-09-19,0.12555,2022-09-19,0.00499
2022-09-20,0.01797,2022-09-20,1.01516,2022-09-20,0.11403,2022-09-20,0.0046
2022-09-21,0.01799,2022-09-21,0.86937,2022-09-21,0.11177,2022-09-21,0.00405
2022-09-22,0.0197,2022-09-22,0.84683,2022-09-22,0.10814,2022-09-22,0.00397
2022-09-23,0.01636,2022-09-23,0.99565,2022-09-23,0.1102,2022-09-23,0.00348
2022-09-24,0.01302,2022-09-24,0.63198,2022-09-24,0.09512,2022-09-24,0.00187
2022-09-25,0.01385,2022-09-25,0.64692,2022-09-25,0.11069,2022-09-25,0.00326
2022-09-26,0.01999,2022-09-26,0.94217,2022-09-26,0.13965,2022-09-26,0.00395
2022-09-27,0.02142,2022-09-27,0.8071,2022-09-27,0.13666,2022-09-27,0.00399
2022-09-28,0.01862,2022-09-28,0.78811,2022-09-28,0.14365,2022-09-28,0.0043
2022-09-29,0.01828,2022-09-29,0.79487,2022-09-29,0.13156,2022-09-29,0.00326
2022-09-30,0.01748,2022-09-30,0.74822,2022-09-30,0.14377,2022-09-30,0.0035
2022-10-01,0.01208,2022-10-01,0.54776,2022-10-01,0.16262,2022-10-01,0.00203
2022-10-02,0.01198,2022-10-02,0.55086,2022-10-02,0.16927,2022-10-02,0.00197
2022-10-03,0.01581,2022-10-03,0.59109,2022-10-03,0.19882,2022-10-03,0.00344
2022-10-04,0.01995,2022-10-04,0.7666,2022-10-04,0.24513,2022-10-04,0.00454
2022-10-05,0.01989,2022-10-05,0.75698,2022-10-05,0.236,2022-10-05,0.00521
2022-10-06,0.02009,2022-10-06,0.69221,2022-10-06,0.23396,2022-10-06,0.00442
2022-10-07,0.01608,2022-10-07,0.64525,2022-10-07,0.23804,2022-10-07,0.00281
2022-10-08,0.01441,2022-10-08,0.52532,2022-10-08,0.19157,2022-10-08,0.00222
2022-10-09,0.01318,2022-10-09,0.52069,2022-10-09,0.20671,2022-10-09,0.00209
2022-10-10,0.01536,2022-10-10,0.58724,2022-10-10,0.25292,2022-10-10,0.00283
